Method,AUC,Distance,Feat. Import. Std.,Feat. in Top-3,Nodes,Tree Depth
CART Pareto AUC,0.755 (0.000),0.107 (0.000),0.000,3,13.000,3.000
CART Pareto Stability,0.755 (0.000),0.107 (0.000),0.000,3,13.000,3.000
CART Pareto Distance,0.590 (0.000),0.004 (0.000),0.000,3,47.000,9.000
