Method,AUC,Distance,Feat. Import. Std.,Feat. in Top-3,Nodes,Tree Depth
CART Pareto AUC,0.764 (0.064),0.053 (0.027),0.035,18,16.455,4.364
CART Pareto Stability,0.763 (0.063),0.043 (0.027),0.032,15,21.545,4.909
CART Pareto Distance,0.626 (0.087),0.004 (0.003),0.027,19,44.091,9.182
