Method,AUC,Distance,Feat. Import. Std.,Feat. in Top-3,Nodes,Tree Depth
CART Pareto AUC,0.737 (0.030),0.069 (0.032),0.024,15,17.400,3.900
CART Pareto Stability,0.736 (0.031),0.053 (0.024),0.025,14,18.400,4.300
CART Pareto Distance,0.597 (0.030),0.004 (0.002),0.023,16,57.000,9.600
